parameter,mean,lwr,upr
clearance.time.NonVariant,7.110021075570996,6.374823117798548,7.854919683783273
clearance.time.Variant,6.96405859665941,5.709894885769587,8.33982143159428
peak.ct.NonVariant,20.641367181200795,19.595545822983212,21.70682879480355
peak.ct.Variant,20.80401746708464,18.752359628034228,22.829186173323492
peak.geml.NonVariant,8.02053629766797,7.725371215562979,8.310260435191463
peak.geml.Variant,7.975477250608575,7.414444286284138,8.54384850564325
proliferation.time.NonVariant,4.085172443222485,3.4875160481089633,4.767866958119558
proliferation.time.Variant,4.016669441966813,3.1689688282288775,4.990684752614139
total.duration.NonVariant,11.195193518793483,10.287527184283084,12.117830285346397
total.duration.Variant,10.980728038626223,9.46315386380815,12.614306971783073
